,isocode,educ,rank_educ,country
752,AUT,76.00780487060547,14,Austria
753,AZE,61.65729141235352,46,Azerbaijan
754,BDI,32.4332389831543,131,Burundi
755,BEL,78.1318130493164,9,Belgium
756,BEN,29.532878875732425,138,Benin
757,BFA,32.69802474975586,130,Burkina Faso
758,BGD,40.90733337402344,120,Bangladesh
759,BGR,63.28839111328125,41,Bulgaria
760,BHR,60.24871063232422,61,Bahrain
761,BLR,63.29110336303711,40,Belarus
762,BLZ,52.18132781982422,96,Belize
763,BOL,54.31220626831055,85,Bolivia
764,BRA,54.745792388916016,82,Brazil
765,BWA,56.24704360961914,74,Botswana
766,CAF,19.408344268798828,148,Central African Republic
767,CAN,77.11398315429688,12,Canada
768,CHE,80.71369171142578,2,Switzerland
769,CHL,65.26236724853516,34,Chile
770,CHN,65.22846984863281,35,China
771,CIV,25.29981231689453,143,Ivory Coast
772,CMR,44.23141098022461,113,Cameroon
773,COD,32.382381439208984,132,Democratic Republic of Congo
774,COG,40.6314582824707,122,Congo
775,COL,55.33695983886719,79,Colombia
776,COM,31.262340545654297,135,Comoros
777,CRI,61.476993560791016,49,Costa Rica
778,CYP,62.04473876953125,44,Cyprus
779,CZE,68.95391082763672,26,Czech Republic
780,DEU,75.41194915771484,15,Germany
781,DJI,52.26346969604492,94,Djibouti
782,DNK,77.68852996826172,11,Denmark
783,DOM,50.983734130859375,98,Dominican Republic
784,DZA,52.9581298828125,90,Algeria
785,ECU,55.39891052246094,78,Ecuador
786,EGY,50.31905746459961,100,Egypt
787,ESP,71.65614318847656,23,Spain
788,EST,65.9314193725586,31,Estonia
789,ETH,36.95800018310547,126,Ethiopia
790,FIN,78.63397979736328,6,Finland
791,FRA,73.70146942138672,19,France
792,GAB,46.99025344848633,109,Gabon
793,GBR,76.37590789794922,13,United Kingdom
794,GEO,60.84514236450195,56,Georgia
795,GHA,46.03526306152344,112,Ghana
796,GIN,21.253427505493164,147,Guinea
797,GRC,59.94330596923828,62,Greece
798,GTM,48.46854019165039,107,Guatemala
799,GUY,52.08259201049805,97,Guyana
800,HKG,72.76153564453125,21,Hong Kong
801,HND,52.46661376953125,92,Honduras
802,HRV,64.44229888916016,38,Croatia
803,HUN,64.69871520996094,37,Hungary
804,IDN,56.64030456542969,73,Indonesia
805,IND,48.71453475952149,106,India
806,IRL,78.35088348388672,7,Ireland
807,IRN,58.26542282104492,69,Iran
808,IRQ,37.60846328735352,125,Iraq
809,ISL,67.39497375488281,28,Iceland
810,ISR,74.26322174072266,18,Israel
811,ITA,71.79144287109375,22,Italy
812,JAM,54.51104736328125,83,Jamaica
813,JOR,54.41276931762695,84,Jordan
814,JPN,73.5246810913086,20,Japan
815,KAZ,64.8421859741211,36,Kazakhstan
816,KEN,49.09220504760742,104,Kenya
817,KGZ,58.60406112670898,68,Kyrgyzstan
818,KHM,54.22454071044922,87,Cambodia
819,KOR,74.68807983398438,17,South Korea
820,KWT,53.611087799072266,88,Kuwait
821,LAO,48.80021667480469,105,Laos
822,LBN,49.84394073486328,101,Lebanon
823,LBR,27.9000186920166,140,Liberia
824,LBY,46.09579086303711,111,Libya
825,LKA,60.63569641113281,57,Sri Lanka
826,LSO,41.1139030456543,118,Lesotho
827,LTU,62.01047897338867,45,Lithuania
828,LUX,66.90513610839844,30,Luxembourg
829,LVA,65.93128204345703,32,Latvia
830,MAR,42.1176986694336,116,Morocco
831,MDA,61.494659423828125,48,Moldova
832,MDG,33.426971435546875,129,Madagascar
833,MEX,61.28318405151367,51,Mexico
834,MKD,63.31753540039063,39,Macedonia
835,MLI,22.16963768005371,146,Mali
836,MLT,59.63429641723633,65,Malta
837,MNE,61.11556243896485,54,Montenegro
838,MNG,60.435821533203125,59,Mongolia
839,MOZ,30.179533004760746,137,Mozambique
840,MRT,30.288898468017575,136,Mauritania
841,MUS,59.29866409301758,66,Mauritius
842,MWI,39.40275192260742,123,Malawi
843,MYS,70.19947052001953,25,Malaysia
844,NAM,46.985164642333984,110,Namibia
845,NER,15.8097562789917,149,Niger
846,NGA,41.36530303955078,117,Nigeria
847,NIC,49.66072845458984,103,Nicaragua
848,NLD,81.91529083251953,1,Netherlands
849,NOR,79.33740234375,4,Norway
850,NPL,40.815277099609375,121,Nepal
851,NZL,74.9605941772461,16,New Zealand
852,OMN,56.87718963623047,72,Oman
853,PAK,36.70085525512695,127,Pakistan
854,PAN,59.75857925415039,64,Panama
855,PER,52.24247741699219,95,Peru
856,PHL,57.76098251342773,71,Philippines
857,POL,65.40670776367188,33,Poland
858,PRT,60.47613143920898,58,Portugal
859,PRY,53.34665298461914,89,Paraguay
860,QAT,52.80898284912109,91,Qatar
861,ROU,61.53953552246094,47,Romania
862,RUS,67.72573852539062,27,Russia
863,RWA,41.01734924316406,119,Rwanda
864,SAU,54.89585494995117,81,Saudi Arabia
865,SCG,62.432403564453125,42,Serbia
866,SDN,24.049095153808597,144,Sudan
867,SEN,31.96964836120605,133,Senegal
868,SGP,78.32125091552734,8,Singapore
869,SLE,25.79801368713379,141,Sierra Leone
870,SLV,52.27359390258789,93,El Salvador
871,SUR,58.7325325012207,67,Suriname
872,SVK,67.2024154663086,29,Slovakia
873,SVN,70.20771789550781,24,Slovenia
874,SWE,77.74849700927734,10,Sweden
875,SWZ,48.26924514770508,108,Swaziland
876,TCD,23.55716323852539,145,Chad
877,TGO,31.485166549682617,134,Togo
878,THA,61.335391998291016,50,Thailand
879,TJK,60.97596740722656,55,Tajikistan
880,TTO,61.24589920043945,52,Trinidad and Tobago
881,TUN,50.77518844604492,99,Tunisia
882,TUR,55.86251068115234,77,Turkey
883,TZA,42.78554534912109,114,Tanzania
884,UGA,39.32927703857422,124,Uganda
885,UKR,62.33162689208984,43,Ukraine
886,URY,57.7632064819336,70,Uruguay
887,USA,79.28092193603516,5,United States
888,VEN,54.25195693969727,86,Venezuela
889,VNM,60.37392425537109,60,Vietnam
890,YEM,25.373554229736328,142,Yemen
891,ZAF,56.01308822631836,76,South Africa
892,ZMB,42.34724426269531,115,Zambia
893,ZWE,49.72679138183594,102,Zimbabwe
894,AFG,29.42998504638672,139,Afghanistan
895,AGO,34.5928955078125,128,Angola
896,ALB,55.94010162353516,76,Albania
897,ARE,59.293495178222656,64,United Arab Emirates
898,ARG,57.247520446777344,70,Argentina
899,ARM,61.256622314453125,52,Armenia
900,AUS,79.49703979492188,4,Australia
901,AUT,75.98982238769531,15,Austria
902,AZE,61.05769729614258,54,Azerbaijan
903,BDI,33.53782272338867,131,Burundi
904,BEL,79.11849975585938,7,Belgium
905,BEN,31.550899505615234,134,Benin
906,BFA,33.96706771850586,130,Burkina Faso
907,BGD,41.53922653198242,117,Bangladesh
908,BGR,62.55558776855469,41,Bulgaria
909,BHR,58.90694427490234,67,Bahrain
910,BLR,63.47518157958984,39,Belarus
911,BLZ,51.92809295654297,96,Belize
912,BOL,53.64338684082031,84,Bolivia
913,BRA,53.46947479248047,85,Brazil
914,BWA,55.68633270263672,79,Botswana
915,CAF,19.64335823059082,148,Central African Republic
916,CAN,77.04912567138672,12,Canada
917,CHE,80.7136459350586,1,Switzerland
918,CHL,64.78793334960938,35,Chile
919,CHN,65.7642593383789,33,China
920,CIV,30.12409782409668,136,Ivory Coast
921,CMR,43.507930755615234,113,Cameroon
922,COD,26.008140563964844,142,Democratic Republic of Congo
923,COG,39.893890380859375,123,Congo
924,COL,55.72551345825195,77,Colombia
925,COM,31.35467529296875,135,Comoros
926,CRI,61.15922164916992,53,Costa Rica
927,CYP,61.45511245727539,48,Cyprus
928,CZE,68.63774871826172,26,Czech Republic
929,DEU,76.06134033203125,14,Germany
930,DJI,52.04235458374024,94,Djibouti
931,DNK,77.98403930664062,11,Denmark
932,DOM,52.145503997802734,92,Dominican Republic
933,DZA,52.89390563964844,89,Algeria
934,ECU,56.91995620727539,71,Ecuador
935,EGY,48.8641471862793,105,Egypt
936,ESP,69.7546157836914,24,Spain
937,EST,66.53528594970703,32,Estonia
938,ETH,37.48262786865234,126,Ethiopia
939,FIN,80.37039947509766,3,Finland
940,FRA,74.08248901367188,19,France
941,GAB,48.46640396118164,108,Gabon
942,GBR,79.30845642089844,5,United Kingdom
943,GEO,61.30287170410156,51,Georgia
944,GHA,44.41976165771485,112,Ghana
945,GIN,22.198671340942383,145,Guinea
946,GRC,59.12007141113281,66,Greece
947,GTM,47.080936431884766,110,Guatemala
948,GUY,52.0545768737793,93,Guyana
949,HKG,72.33839416503906,21,Hong Kong
