,isocode,heal,rank_heal,country
978,LVA,71.15162658691406,75,Latvia
979,MAR,70.44065856933594,80,Morocco
980,MDA,66.98863220214844,101,Moldova
981,MDG,54.11045455932617,141,Madagascar
982,MEX,73.1672592163086,65,Mexico
983,MKD,71.94308471679688,70,Macedonia
984,MLI,57.89688110351562,132,Mali
985,MLT,80.86318969726562,16,Malta
986,MNE,72.83821868896484,67,Montenegro
987,MNG,68.83534240722656,91,Mongolia
988,MOZ,54.43473434448242,140,Mozambique
989,MRT,61.58050918579102,116,Mauritania
990,MUS,75.47262573242188,47,Mauritius
991,MWI,63.0123062133789,113,Malawi
992,MYS,77.8194351196289,36,Malaysia
993,NAM,65.969482421875,103,Namibia
994,NER,54.5145149230957,138,Niger
995,NGA,52.39429473876953,146,Nigeria
996,NIC,72.9874038696289,66,Nicaragua
997,NLD,82.28740692138672,6,Netherlands
998,NOR,80.8221435546875,17,Norway
999,NPL,63.979698181152344,109,Nepal
1000,NZL,81.56078338623047,10,New Zealand
1001,OMN,79.33307647705078,27,Oman
1002,PAK,58.95918655395508,125,Pakistan
1003,PAN,73.88880157470703,57,Panama
1004,PER,68.75712585449219,93,Peru
1005,PHL,68.98778533935547,90,Philippines
1006,POL,74.04174041748047,55,Poland
1007,PRT,78.06871032714844,35,Portugal
1008,PRY,74.70365142822266,54,Paraguay
1009,QAT,81.34581756591797,12,Qatar
1010,ROU,68.276123046875,97,Romania
1011,RUS,65.72694396972656,104,Russia
1012,RWA,71.95109558105469,69,Rwanda
1013,SAU,76.3465805053711,42,Saudi Arabia
1014,SCG,70.20276641845703,81,Serbia
1015,SDN,58.31791305541992,130,Sudan
1016,SEN,63.41395568847656,112,Senegal
1017,SGP,83.94720458984375,2,Singapore
1018,SLE,54.49336624145508,139,Sierra Leone
1019,SLV,73.57051086425781,60,El Salvador
1020,SUR,74.96846008300781,51,Suriname
1021,SVK,75.7257308959961,44,Slovakia
1022,SVN,78.18549346923828,33,Slovenia
1023,SWE,82.57691955566406,5,Sweden
1024,SWZ,64.17404937744139,106,Swaziland
