isocode,sub-region,sub-region-score,Year,Prosperity Growth
RWA,Sub-Saharan Africa,0.1966062009358823,2009,1.9650950961642764
SAU,Western Asia,0.11970141955784389,2009,0.5423020256890183
SDN,Northern Africa,-0.17422699802136268,2009,0.05699793497721117
SEN,Sub-Saharan Africa,0.1966062009358823,2009,-1.1043779585096587
SGP,South-eastern Asia,0.3039828027997696,2009,0.3243666754828496
SLE,Sub-Saharan Africa,0.1966062009358823,2009,1.0840045081244583
SLV,Latin America and the Caribbean,0.19918489028372544,2009,0.29838858710395044
SUR,Latin America and the Caribbean,0.19918489028372544,2009,0.11101235283745581
SVK,Eastern Europe,0.266389516800169,2009,-0.16441472371418797
SVN,Southern Europe,0.25529253520662787,2009,0.007878197564011202
SWE,Northern Europe,0.19307814704047296,2009,0.5966707865397183
SWZ,Sub-Saharan Africa,0.1966062009358823,2009,0.02092107137043797
TCD,Sub-Saharan Africa,0.1966062009358823,2009,-0.4854852888319243
TGO,Sub-Saharan Africa,0.1966062009358823,2009,0.579856448703346
THA,South-eastern Asia,0.3039828027997696,2009,0.39764658610025805
TJK,Central Asia,0.4199508788093687,2009,0.07527033487955492
TTO,Latin America and the Caribbean,0.19918489028372544,2009,0.5306735568576357
TUN,Northern Africa,-0.17422699802136268,2009,-0.014159308539497317
TUR,Western Asia,0.11970141955784389,2009,0.07575183444552636
TZA,Sub-Saharan Africa,0.1966062009358823,2009,1.2247111002604143
UGA,Sub-Saharan Africa,0.1966062009358823,2009,1.0260683695475308
UKR,Eastern Europe,0.266389516800169,2009,-0.9894532097710496
URY,Latin America and the Caribbean,0.19918489028372544,2009,0.9885453118218379
USA,Northern America,0.03483581542968851,2009,-0.8705698649088447
VEN,Latin America and the Caribbean,0.19918489028372544,2009,-0.19661521911621094
VNM,South-eastern Asia,0.3039828027997696,2009,-1.1169870164659272
YEM,Western Asia,0.11970141955784389,2009,-0.2409945593939895
ZAF,Sub-Saharan Africa,0.1966062009358823,2009,0.19060982598198706
ZMB,Sub-Saharan Africa,0.1966062009358823,2009,-0.42212677001953125
ZWE,Sub-Saharan Africa,0.1966062009358823,2009,1.781503677368164
AFG,Southern Asia,0.2417285253131201,2010,-0.5847405327690964
AGO,Sub-Saharan Africa,0.1966062009358823,2010,0.3371315002441406
ALB,Southern Europe,0.25529253520662787,2010,0.48632091946071654
ARE,Western Asia,0.11970141955784389,2010,0.5735011630588076
ARG,Latin America and the Caribbean,0.19918489028372544,2010,1.47532526652018
ARM,Western Asia,0.11970141955784389,2010,0.12248865763346117
AUS,Australia and New Zealand,0.0062095399886845015,2010,0.47112782796223485
AUT,Western Europe,0.15470879310383043,2010,1.5866474575466611
AZE,Western Asia,0.11970141955784389,2010,-0.9848344590928804
BDI,Sub-Saharan Africa,0.1966062009358823,2010,0.5277184380425339
BEL,Western Europe,0.15470879310383043,2010,0.4258376227484888
BEN,Sub-Saharan Africa,0.1966062009358823,2010,0.06450462341308594
BFA,Sub-Saharan Africa,0.1966062009358823,2010,0.642755720350479
BGD,Southern Asia,0.2417285253131201,2010,0.8341598510742188
BGR,Eastern Europe,0.266389516800169,2010,0.8672904968261719
BHR,Western Asia,0.11970141955784389,2010,-0.5776579115125884
BLR,Eastern Europe,0.266389516800169,2010,1.3589630126953125
BLZ,Latin America and the Caribbean,0.19918489028372544,2010,0.16123029920790088
BOL,Latin America and the Caribbean,0.19918489028372544,2010,-0.09819369845919823
BRA,Latin America and the Caribbean,0.19918489028372544,2010,0.5979567633734746
BWA,Sub-Saharan Africa,0.1966062009358823,2010,-0.07228512234157591
CAF,Sub-Saharan Africa,0.1966062009358823,2010,-1.1299617555406343
CAN,Northern America,0.03483581542968851,2010,0.3875376383463589
CHE,Western Europe,0.15470879310383043,2010,0.2592985365125884
CHL,Latin America and the Caribbean,0.19918489028372544,2010,0.8709314134385835
CHN,Eastern Asia,0.10904252794053804,2010,0.9722213745117188
CIV,Sub-Saharan Africa,0.1966062009358823,2010,-0.3361089494493257
CMR,Sub-Saharan Africa,0.1966062009358823,2010,1.427646848890511
COD,Sub-Saharan Africa,0.1966062009358823,2010,0.031997044881187264
COG,Sub-Saharan Africa,0.1966062009358823,2010,0.5370716518825915
COL,Latin America and the Caribbean,0.19918489028372544,2010,0.6390813191731795
COM,Sub-Saharan Africa,0.1966062009358823,2010,1.7726035647922131
CRI,Latin America and the Caribbean,0.19918489028372544,2010,0.20671166314018308
CYP,Western Asia,0.11970141955784389,2010,1.8093969557020415
CZE,Eastern Europe,0.266389516800169,2010,0.03892305162219145
DEU,Western Europe,0.15470879310383043,2010,0.716516706678604
DJI,Sub-Saharan Africa,0.1966062009358823,2010,-0.10632938808865333
DNK,Northern Europe,0.19307814704047296,2010,0.8160527547200616
DOM,Latin America and the Caribbean,0.19918489028372544,2010,0.06832716200086963
DZA,Northern Africa,-0.17422699802136268,2010,0.5098385281032947
ECU,Latin America and the Caribbean,0.19918489028372544,2010,0.13824335734049953
EGY,Northern Africa,-0.17422699802136268,2010,-0.7352570427788621
ESP,Southern Europe,0.25529253520662787,2010,1.2722104390462334
EST,Northern Europe,0.19307814704047296,2010,0.41820526123046875
ETH,Sub-Saharan Africa,0.1966062009358823,2010,0.12664371066622948
FIN,Northern Europe,0.19307814704047296,2010,0.17413965861001657
FRA,Western Europe,0.15470879310383043,2010,1.4895773993598027
GAB,Sub-Saharan Africa,0.1966062009358823,2010,0.39628431532117503
GBR,Northern Europe,0.19307814704047296,2010,0.6443693372938384
GEO,Western Asia,0.11970141955784389,2010,1.499031490749779
GHA,Sub-Saharan Africa,0.1966062009358823,2010,1.4704653422037737
GIN,Sub-Saharan Africa,0.1966062009358823,2010,1.0248612297905808
GRC,Southern Europe,0.25529253520662787,2010,-0.6546457078721772
GTM,Latin America and the Caribbean,0.19918489028372544,2010,0.33367580837673216
GUY,Latin America and the Caribbean,0.19918489028372544,2010,0.23278511895073706
HKG,Eastern Asia,0.10904252794053804,2010,0.7215156555175781
